age,distrib
1,4.7
2,4.63
3,4.52
4,4.85
5,4.299999999999999
6,4.189999999999999
7,4.079999999999998
8,3.969999999999998
9,3.8599999999999977
10,3.7499999999999973
11,3.639999999999997
12,3.5299999999999967
13,3.4199999999999964
14,3.309999999999996
15,3.1999999999999957
16,3.0899999999999954
17,2.979999999999995
18,2.8699999999999948
19,2.7599999999999945
20,2.649999999999994
21,2.539999999999994
22,2.4299999999999935
23,2.319999999999993
24,2.209999999999993
25,2.0999999999999925
26,1.9899999999999922
27,1.879999999999992
28,1.7699999999999916
29,1.6599999999999913
30,1.609999999999991
31,1.8399999999999905
32,1.7299999999999902
33,1.61999999999999
